Dish Name,Region,Meal Type,Calories (kcal),Protein (g),Carbs (g),Fat (g),Food Type
Bajra Thepla,Punjab,Breakfast,283,13.9,38.7,7.9,Veg
Manipur Style Dosa Homestyle,Manipur,Breakfast,254,7.7,39.5,7.5,Veg
Kharan Traditional With Steamed Rice,Tamil Nadu,Breakfast,290,18.2,45.3,6.9,Veg
West Bengal Style Paratha Lite,West Bengal,Breakfast,292,6.7,42.0,10.0,Veg
Puttu And Chapati,Mizoram,Breakfast,250,9.0,29.1,8.0,Veg
Goa Style Kuzhi Paniyaram Traditional,Goa,Breakfast,280,19.8,37.4,6.8,Veg
Puttu And Chapati,Karnataka,Breakfast,276,10.4,43.2,6.8,Veg
Pongal Classic With Dal,Mizoram,Breakfast,252,14.5,30.4,7.1,Veg
Pongal And Steamed Rice,Gujarat,Breakfast,305,7.2,35.8,10.6,Veg
Chila Missal,Chhattisgarh,Breakfast,313,9.9,36.5,9.8,Veg
Dhuska Sevai,Jharkhand,Breakfast,302,13.2,41.7,10.5,Veg
Dosa Special With Poriyal,Haryana,Breakfast,311,13.0,44.2,9.6,Veg
Sundakkai Dhokla,Tamil Nadu,Breakfast,357,11.1,52.4,12.5,Veg
Mizoram Style Upma Special,Mizoram,Breakfast,317,9.0,50.3,12.1,Veg
Karela Sattu Paratha,Bihar,Breakfast,358,15.8,41.8,11.2,Veg
Dhuska Pongal,Jharkhand,Breakfast,380,18.9,61.3,9.4,Veg
Baingan Missal Special,Uttar Pradesh,Breakfast,361,16.2,55.9,8.4,Veg
Karnataka Style Kharan Classic,Karnataka,Breakfast,264,10.3,39.5,9.1,Veg
Idli Homestyle With Curd,Andhra Pradesh,Breakfast,338,13.3,51.3,11.6,Veg
Dhokla Special With Chapati,Maharashtra,Breakfast,447,18.6,57.8,13.1,Veg
Kaju Upma,Goa,Breakfast,377,12.4,49.2,11.5,Veg
Kouk Ragi Dosa,Chhattisgarh,Breakfast,396,15.4,46.8,13.7,Veg
Tamil Nadu Style Dosa Homestyle,Tamil Nadu,Breakfast,343,11.4,41.2,12.9,Veg
Chole Dosa Special,Delhi,Breakfast,313,11.8,46.5,8.4,Veg
Ragi Vegetable Uttapam,Karnataka,Breakfast,263,8.5,40.2,10.1,Veg
Upma And Roti,Bihar,Breakfast,333,7.2,45.1,9.4,Veg
Besan Chilla Homestyle With Sambar,Gujarat,Breakfast,256,9.3,33.2,9.3,Veg
Bhatt Idli,Uttarakhand,Breakfast,346,17.9,51.5,8.3,Veg
Puttu And Sambar,Goa,Breakfast,432,9.9,49.5,11.3,Veg
Sattu Paratha And Papad,Delhi,Breakfast,271,14.1,37.3,8.9,Veg
Karela Upma Special,Bihar,Breakfast,419,19.5,52.1,11.1,Veg
Kela Missal,Uttar Pradesh,Breakfast,309,7.0,37.9,10.9,Veg
Poha Homestyle With Curd,Chhattisgarh,Breakfast,369,10.4,43.7,10.4,Veg
Appam And Papad,Mizoram,Breakfast,280,7.3,42.8,7.6,Veg
Tripura Style Sevai Delight,Tripura,Breakfast,273,16.0,43.9,7.9,Veg
Kosha Khichdi,Kerala,Breakfast,365,13.8,51.1,8.7,Veg
Andhra Pradesh Style Pongal Delight,Andhra Pradesh,Breakfast,283,8.8,37.5,9.5,Veg
Shyaphale Upma Special,Sikkim,Breakfast,255,20.0,31.2,8.4,Veg
Meghalaya Style Pongal Special,Meghalaya,Breakfast,368,6.7,58.4,10.8,Veg
Missal And Poriyal,Nagaland,Breakfast,359,8.4,44.2,9.1,Veg
Kuzhi Paniyaram Classic With Rasam,Punjab,Breakfast,407,9.4,51.8,11.8,Veg
Jammu And Kashmir Style Sandwich (Veg) Homestyle,Jammu and Kashmir,Breakfast,285,11.9,41.2,10.1,Veg
Rajasthan Style Besan Chilla Lite,Rajasthan,Breakfast,341,12.7,51.7,9.5,Veg
Chila Sattu Paratha,Chhattisgarh,Breakfast,256,10.5,31.6,9.5,Veg
Mizoram Style Paratha Traditional,Mizoram,Breakfast,446,14.2,55.4,11.1,Veg
Vellarikka Puttu,Rajasthan,Breakfast,264,16.7,42.2,8.4,Veg
Jadoh Missal,Meghalaya,Breakfast,401,10.5,59.9,11.3,Veg
Badi Idli,Chhattisgarh,Breakfast,394,19.3,60.8,14.1,Veg
Pitika Besan Chilla,Assam,Breakfast,273,6.8,38.9,6.2,Veg
Maskaa Idli,Assam,Breakfast,337,16.0,53.4,12.2,Veg
Uttar Pradesh Style Dosa Lite,Uttar Pradesh,Breakfast,286,16.8,44.3,10.5,Veg
Dhokla And Chutney,Karnataka,Breakfast,327,10.5,52.7,11.3,Veg
Dalma Sandwich (Veg),Odisha,Breakfast,427,18.5,61.1,12.0,Veg
Vegetable Uttapam Lite With Salad,Manipur,Breakfast,426,10.1,51.7,9.5,Veg
Vegetable Uttapam And Sambar,Tripura,Breakfast,404,10.5,61.8,13.1,Veg
Sikkim Style Vegetable Uttapam Traditional,Sikkim,Breakfast,440,7.1,57.1,12.1,Veg
Phagshapa Upma,Sikkim,Breakfast,303,9.5,35.1,8.0,Veg
Andhra Pradesh Style Idli Lite,Andhra Pradesh,Breakfast,357,19.6,56.0,10.9,Veg
Ghugni Dhokla Special,Bihar,Breakfast,397,15.1,58.3,9.9,Veg
Ragi Dosa,Karnataka,Breakfast,276,7.0,33.4,7.9,Veg
Axone Upma Special,Nagaland,Breakfast,407,18.5,60.1,12.0,Veg
Phagshapa Ragi Dosa Special,Sikkim,Breakfast,275,10.6,44.3,8.0,Veg
Tsaman Besan Chilla,Jammu and Kashmir,Breakfast,274,6.7,38.7,9.9,Veg
Pappu Dosa,Telangana,Breakfast,325,17.5,46.7,9.8,Veg
Idli Traditional With Steamed Rice,Andhra Pradesh,Breakfast,270,12.6,31.9,9.5,Veg
Xaak Sandwich (Veg),Assam,Breakfast,349,8.6,54.7,9.9,Veg
Sabji Dosa,Madhya Pradesh,Breakfast,307,17.7,43.2,7.6,Veg
Tripura Style Poha Classic,Tripura,Breakfast,355,19.6,50.4,11.2,Veg
Makki Missal Special,Punjab,Breakfast,371,14.0,46.1,10.1,Veg
Karela Dosa Special,Bihar,Breakfast,423,19.8,50.7,16.1,Veg
Ragi Dosa Delight With Roti,Madhya Pradesh,Breakfast,282,6.6,32.8,9.5,Veg
Surti Pongal Special,Gujarat,Breakfast,267,7.2,37.5,8.4,Veg
Chole Paratha Special,Delhi,Breakfast,409,14.2,62.0,9.9,Veg
Soppu Pongal Special,Telangana,Breakfast,277,13.9,32.6,7.5,Veg
Dhokla And Poriyal,Jammu and Kashmir,Breakfast,374,14.0,50.9,9.4,Veg
Karela Pongal Special,Bihar,Breakfast,352,6.5,55.3,9.8,Veg
Dosa And Pickle,Rajasthan,Breakfast,336,17.4,42.9,9.0,Veg
Poha Lite With Salad,Assam,Breakfast,363,16.8,46.7,12.5,Veg
Upma Homestyle With Raita,Jharkhand,Breakfast,439,12.8,60.7,12.5,Veg
Sattu Paratha Lite With Salad,Kerala,Breakfast,379,11.6,57.4,11.7,Veg
Idli Special With Raita,Chhattisgarh,Breakfast,313,6.5,36.0,8.8,Veg
Muthiya Paratha,Gujarat,Breakfast,412,18.9,60.4,10.8,Veg
Sevai And Papad,Assam,Breakfast,391,10.9,47.2,14.5,Veg
Axone Upma,Nagaland,Breakfast,291,18.0,44.1,7.5,Veg
Puttu Homestyle With Steamed Rice,Rajasthan,Breakfast,381,6.3,57.7,13.3,Veg
Sandwich (Veg) Special With Rasam,Tamil Nadu,Breakfast,307,9.5,46.9,8.4,Veg
Paratha And Pickle,Tripura,Breakfast,314,9.1,40.1,9.7,Veg
Dhuska Missal Special,Jharkhand,Breakfast,419,19.5,64.7,13.2,Veg
Arbi Sevai,Jharkhand,Breakfast,373,6.9,60.4,12.3,Veg
Parathas Paratha,Delhi,Breakfast,382,16.7,60.2,13.6,Veg
Sevai And Steamed Rice,Meghalaya,Breakfast,434,6.4,59.6,11.8,Veg
Kharan And Chapati,Himachal Pradesh,Breakfast,399,15.9,56.3,10.1,Veg
Bamboo Puttu Special,Nagaland,Breakfast,379,10.2,45.9,12.6,Veg
Haakh Ragi Dosa,Jammu and Kashmir,Breakfast,439,9.6,67.1,15.3,Veg
Maharashtra Style Thepla Delight,Maharashtra,Breakfast,440,18.2,58.8,16.3,Veg
Cholar Paratha Special,West Bengal,Breakfast,370,6.8,53.4,11.8,Veg
Upma And Dal,Jharkhand,Breakfast,424,11.3,54.0,9.8,Veg
Pongal Homestyle With Pickle,Delhi,Breakfast,395,18.5,63.9,9.7,Veg
Delhi Style Ragi Dosa Lite,Delhi,Breakfast,295,10.4,34.0,8.8,Veg
Bhinda Ragi Dosa Special,Gujarat,Breakfast,283,14.6,40.8,8.2,Veg
Assam Style Missal Delight,Assam,Breakfast,437,11.2,49.5,12.1,Veg
Sattu Paratha Special With Steamed Rice,Punjab,Breakfast,410,16.3,50.8,15.1,Veg
Haryana Style Pongal Classic,Haryana,Breakfast,328,8.3,50.4,8.9,Veg
Chaulai Kuzhi Paniyaram Special,Haryana,Breakfast,361,18.4,58.6,10.1,Veg
Gahat Sandwich (Veg),Uttarakhand,Breakfast,254,9.2,37.8,6.2,Veg
Jitok Idli Special,Nagaland,Breakfast,343,16.0,52.2,9.8,Veg
Shyaphale Paratha Special,Sikkim,Breakfast,262,15.3,38.0,5.9,Veg
Poha And Poriyal,Tripura,Breakfast,390,9.5,57.6,10.0,Veg
Kang Idli,Manipur,Breakfast,419,13.3,60.2,14.2,Veg
Kadala Poha Special,Odisha,Breakfast,279,17.0,38.3,9.0,Veg
Sawhchiar Paratha Special,Mizoram,Breakfast,354,10.1,40.5,10.8,Veg
Bhinda Sandwich (Veg),Gujarat,Breakfast,421,7.2,49.7,13.4,Veg
Assam Style Pongal Lite,Assam,Breakfast,435,7.4,54.5,11.3,Veg
Paratha And Chutney,Haryana,Breakfast,260,17.9,33.9,8.7,Veg
Odisha Style Poha Delight,Odisha,Breakfast,419,15.1,54.0,15.6,Veg
Jharkhand Style Paratha Delight,Jharkhand,Breakfast,279,11.6,44.8,7.5,Veg
Sandwich (Veg) And Chutney,Bihar,Breakfast,428,16.2,69.2,15.5,Veg
Bendakaya Kharan Special,Andhra Pradesh,Breakfast,423,12.1,60.5,14.9,Veg
Idli Special With Papad,Jharkhand,Breakfast,355,12.2,41.1,11.8,Veg
Vendakkai Sattu Paratha Special,Tamil Nadu,Breakfast,336,13.3,49.4,10.9,Veg
Puttu And Steamed Rice,Odisha,Breakfast,414,11.4,63.9,13.1,Veg
Jharkhand Style Dosa Homestyle,Jharkhand,Breakfast,376,18.2,43.7,11.4,Veg
Soppu Thepla,Rajasthan,Breakfast,390,15.0,51.7,10.2,Veg
Sabji Kuzhi Paniyaram Special,Madhya Pradesh,Breakfast,364,10.4,58.8,12.6,Veg
Poha And Sambar,Tamil Nadu,Breakfast,390,6.0,45.6,12.6,Veg
Pittha Khichdi Special,Jharkhand,Breakfast,421,12.4,54.5,15.1,Veg
Puttu And Dal,Punjab,Breakfast,403,12.6,58.6,13.8,Veg
Poha Traditional With Pickle,Andhra Pradesh,Breakfast,412,19.5,52.4,12.7,Veg
Tripura Style Poha Delight,Tripura,Breakfast,433,16.4,57.6,11.5,Veg
Gujarat Style Appam Homestyle,Gujarat,Breakfast,450,8.7,58.2,15.7,Veg
Kerala Style Vegetable Uttapam Lite,Kerala,Breakfast,400,19.4,47.7,12.2,Veg
Bhaji Dosa Special,Goa,Breakfast,380,16.9,60.0,12.8,Veg
Maharashtra Style Pongal Classic,Maharashtra,Breakfast,405,18.4,55.8,11.6,Veg
Saag Puttu,Jharkhand,Breakfast,365,17.3,43.6,11.8,Veg
Kand Sattu Paratha,Uttarakhand,Breakfast,438,19.1,63.1,11.2,Veg
Malpua Khichdi,Jharkhand,Breakfast,295,13.1,43.4,8.1,Veg
Bendakaya Dhokla Special,Andhra Pradesh,Breakfast,420,15.9,61.4,15.6,Veg
Khichdi And Dal,Jammu and Kashmir,Breakfast,256,11.3,29.5,5.9,Veg
Bajra Ragi Dosa,Punjab,Breakfast,426,17.0,52.3,13.3,Veg
West Bengal Style Kuzhi Paniyaram Lite,West Bengal,Breakfast,393,18.1,58.8,12.4,Veg
Vellarikka Sattu Paratha,Rajasthan,Breakfast,347,11.4,55.6,13.4,Veg
Uttar Pradesh Style Besan Chilla Traditional,Uttar Pradesh,Breakfast,301,14.7,45.6,11.1,Veg
Madhya Pradesh Style Ragi Dosa Lite,Madhya Pradesh,Breakfast,381,7.7,43.6,10.2,Veg
Pongal Special With Salad,Punjab,Breakfast,334,12.5,53.2,7.6,Veg
Siddu Thepla Special,Himachal Pradesh,Breakfast,407,17.8,51.9,14.4,Veg
Jammu And Kashmir Style Dhokla Delight,Jammu and Kashmir,Breakfast,297,13.3,45.1,7.4,Veg
Besan Chilla And Pickle,Jammu and Kashmir,Breakfast,304,15.3,39.2,8.2,Veg
Anda Sevai Special,Mizoram,Breakfast,252,7.6,32.7,6.6,Veg
Sael Sevai Special,Sikkim,Breakfast,332,11.3,50.6,8.0,Veg
Kand Appam,Uttarakhand,Breakfast,292,19.6,44.1,9.1,Veg
Upma Homestyle With Steamed Rice,Sikkim,Breakfast,276,8.9,42.5,10.2,Veg
Nagaland Style Kharan Homestyle,Nagaland,Breakfast,433,10.6,50.6,10.0,Veg
Tungrymbai Paratha Special,Meghalaya,Breakfast,316,11.7,42.7,9.2,Veg
Idli And Dal,Uttar Pradesh,Breakfast,414,16.1,47.9,14.3,Veg
Keera Upma,Kerala,Breakfast,425,10.2,49.7,14.9,Veg
Missal And Papad,Madhya Pradesh,Breakfast,386,9.1,57.8,13.7,Veg
Kebabs (Veg) Besan Chilla,Delhi,Breakfast,436,15.1,69.9,9.8,Veg
Besan Chilla Special With Sambar,Delhi,Breakfast,396,14.4,55.2,15.1,Veg
Sarson Appam,Haryana,Breakfast,381,8.0,46.4,12.4,Veg
Punjab Style Appam Classic,Punjab,Breakfast,263,17.9,41.8,10.2,Veg
Madhya Pradesh Style Besan Chilla Special,Madhya Pradesh,Breakfast,314,7.4,46.7,9.5,Veg
Dhokla Traditional With Chutney,Uttar Pradesh,Breakfast,408,7.0,49.8,12.4,Veg
Lauki Sevai,Uttar Pradesh,Breakfast,395,11.1,50.7,11.6,Veg
Thepla Lite With Chapati,Tamil Nadu,Breakfast,414,12.1,64.0,10.1,Veg
Thepla And Papad,Nagaland,Breakfast,448,10.3,62.8,11.3,Veg
Malpua Upma,Jharkhand,Breakfast,317,16.3,45.6,10.9,Veg
Bhatt Idli Special,Uttarakhand,Breakfast,353,16.8,43.5,8.1,Veg
Makki Besan Chilla Special,Punjab,Breakfast,343,11.5,53.9,11.0,Veg
Khichdi Classic With Dal,Delhi,Breakfast,273,11.6,37.6,9.1,Veg
Sevai Homestyle With Curd,Delhi,Breakfast,290,8.5,46.4,9.6,Veg
Pappu Sandwich (Veg),Telangana,Breakfast,309,6.9,40.5,7.1,Veg
Muthiya Sattu Paratha,Gujarat,Breakfast,261,6.6,37.8,6.2,Veg
Kaju Paratha,Goa,Breakfast,294,11.3,38.6,9.4,Veg
Aloo Ke Gutke Upma Special,Uttarakhand,Breakfast,382,11.7,58.6,10.7,Veg
Tungrymbai Sandwich (Veg) Special,Meghalaya,Breakfast,362,8.3,42.1,11.9,Veg
Pongal Classic With Pickle,Gujarat,Breakfast,433,17.4,63.0,12.6,Veg
Poha And Papad,Uttar Pradesh,Breakfast,401,8.3,61.8,9.1,Veg
Keera Pongal Special,Kerala,Breakfast,411,13.2,64.5,10.1,Veg
Rajma Poriyal Thali,Maharashtra,Lunch,688,14.9,107.6,23.6,Veg
Punjab Aloo Gobi With Papad,Punjab,Lunch,641,18.1,77.6,23.1,Veg
Malpua Style Rasam Rice Biryani (Veg),Jharkhand,Lunch,661,9.7,98.3,18.5,Veg
Poha Style Gutti Vankaya Biryani (Veg),Madhya Pradesh,Lunch,597,7.9,67.7,18.5,Veg
Khichdi Pulav With Salad,Himachal Pradesh,Lunch,490,12.7,70.2,11.2,Veg
Tungrymbai Style Dal Makhani (Veg) Biryani (Veg),Meghalaya,Lunch,466,18.6,65.0,10.4,Veg
Anda Style Matar Paneer Biryani (Veg),Mizoram,Lunch,671,12.0,107.0,20.3,Veg
Chhinam Bhindi Masala Curry With Rice,Mizoram,Lunch,694,7.4,82.7,20.9,Veg
Vellarikka Bisi Bele Bath Curry With Rice,Rajasthan,Lunch,531,8.6,78.6,18.8,Veg
Chhattisgarh Khichdi With Sambar,Chhattisgarh,Lunch,505,15.6,64.8,14.3,Veg
Gongura Style Matar Paneer Biryani (Veg),Telangana,Lunch,616,13.9,88.1,23.9,Veg
Palak Paneer Pulav With Salad,Bihar,Lunch,647,8.5,90.9,19.6,Veg
Bathua Sambar Curry With Rice,Haryana,Lunch,460,16.5,62.0,15.6,Veg
Sambar Rice Poriyal Thali,Maharashtra,Lunch,681,14.6,99.9,15.7,Veg
Bihar Dal Tadka With Papad,Bihar,Lunch,622,7.2,78.2,17.7,Veg
Vegetable Pulao Pulav With Salad,Jharkhand,Lunch,666,10.0,107.0,15.4,Veg
Mixed Veg Curry Pulav With Salad,Mizoram,Lunch,665,10.0,75.9,21.4,Veg
Ambot Style Chana Masala Biryani (Veg),Goa,Lunch,584,9.3,65.7,14.5,Veg
Makki Bhindi Masala Curry With Rice,Punjab,Lunch,502,13.2,75.0,11.7,Veg
Kosambari Dal Makhani (Veg) Curry With Rice,Karnataka,Lunch,577,19.5,72.9,18.7,Veg
Malai Kofta Pulav With Salad,Gujarat,Lunch,489,11.7,57.6,11.5,Veg
Haryana Kadhi Chawal With Salad,Haryana,Lunch,694,9.5,93.4,19.8,Veg
Pitha Chana Masala Curry With Rice,Assam,Lunch,700,18.1,95.6,18.6,Veg
Chana Masala Poriyal Thali,Bihar,Lunch,664,13.5,98.0,17.7,Veg
Bisi Bele Bath Pulav With Salad,Haryana,Lunch,491,12.7,63.9,18.2,Veg
Mixed Veg Curry Chapati Thali,Punjab,Lunch,520,16.3,81.2,13.3,Veg
Surti Style Chana Masala Biryani (Veg),Gujarat,Lunch,461,18.9,67.4,15.3,Veg
Dhuska Style Dal Tadka Biryani (Veg),Jharkhand,Lunch,561,12.9,90.8,20.9,Veg
Rajma Pulav With Salad,Delhi,Lunch,543,11.6,81.5,13.2,Veg
Matar Paneer Pulav With Salad,Goa,Lunch,577,11.5,84.7,14.5,Veg
Khichdi Pulav With Salad,Andhra Pradesh,Lunch,406,15.4,53.4,9.7,Veg
Aloo Gutti Vankaya Curry With Rice,West Bengal,Lunch,521,9.8,83.6,14.6,Veg
Vegetable Biryani Pulav With Salad,Maharashtra,Lunch,590,11.1,78.2,17.5,Veg
Kouk Style Rasam Rice Biryani (Veg),Chhattisgarh,Lunch,538,17.3,75.5,19.6,Veg
Rasam Rice Roti Thali,Gujarat,Lunch,490,11.9,58.4,18.2,Veg
Gundruk Style Khichdi Biryani (Veg),Sikkim,Lunch,553,9.5,86.0,12.7,Veg
Andhra Pradesh Mixed Veg Curry With Salad,Andhra Pradesh,Lunch,449,12.3,58.0,12.7,Veg
Tsaman Dal Makhani (Veg) Curry With Rice,Jammu and Kashmir,Lunch,462,10.9,67.7,14.9,Veg
Kouk Style Sambar Biryani (Veg),Chhattisgarh,Lunch,581,10.6,80.2,20.4,Veg
Bisi Bele Bath Pulav With Salad,Madhya Pradesh,Lunch,474,18.2,68.5,17.9,Veg
Chana Style Gutti Vankaya Biryani (Veg),Odisha,Lunch,482,10.8,61.8,16.0,Veg
Chakhwi Style Rajma Biryani (Veg),Tripura,Lunch,585,16.5,81.0,17.4,Veg
Maharashtra Mixed Veg Curry With Chapati,Maharashtra,Lunch,528,19.2,77.9,12.4,Veg
Maharashtra Bhindi Masala With Chutney,Maharashtra,Lunch,680,6.8,102.7,21.0,Veg
Kosambari Sambar Rice Curry With Rice,Karnataka,Lunch,599,10.3,74.8,16.1,Veg
Rasam Rice Curd Thali,Sikkim,Lunch,417,15.3,64.9,11.5,Veg
Bora Style Malai Kofta Biryani (Veg),Assam,Lunch,469,19.6,69.1,11.8,Veg
Saag Style Malai Kofta Biryani (Veg),Jharkhand,Lunch,673,10.3,87.4,21.0,Veg
Bisi Bele Bath Pulav With Salad,Meghalaya,Lunch,533,8.2,60.2,16.5,Veg
Vawksa Rasam Rice Curry With Rice,Mizoram,Lunch,404,15.6,55.4,14.1,Veg
Dal Tadka Pulav With Salad,Haryana,Lunch,403,13.7,49.1,14.9,Veg
Bhindi Masala Chapati Thali,Odisha,Lunch,599,17.6,74.0,14.1,Veg
Shyaphale Style Chana Masala Biryani (Veg),Sikkim,Lunch,539,10.0,80.7,19.2,Veg
Odisha Palak Paneer With Curd,Odisha,Lunch,456,14.9,65.4,12.2,Veg
Vegetable Biryani Sambar Thali,Jharkhand,Lunch,425,19.6,48.3,16.3,Veg
Rajma Chapati Thali,Haryana,Lunch,519,7.3,58.8,13.4,Veg
Aloo Gobi Pulav With Salad,Odisha,Lunch,416,10.6,64.3,15.8,Veg
Rajma Pulav With Salad,Kerala,Lunch,492,8.7,76.1,17.6,Veg
Punjab Dal Tadka With Poriyal,Punjab,Lunch,526,16.3,60.1,15.7,Veg
Sawhchiar Style Sambar Rice Biryani (Veg),Mizoram,Lunch,559,19.1,67.3,19.2,Veg
Axone Style Dal Makhani (Veg) Biryani (Veg),Nagaland,Lunch,552,8.8,86.6,20.2,Veg
Sambar Rice Pickle Thali,Gujarat,Lunch,485,17.1,68.7,14.0,Veg
Rajasthan Dal Tadka With Roti,Rajasthan,Lunch,643,15.6,77.3,22.5,Veg
Mixed Veg Curry Pulav With Salad,Rajasthan,Lunch,573,19.0,93.0,18.7,Veg
Baingan Bharta Roti Thali,Kerala,Lunch,464,12.8,59.5,14.6,Veg
Baingan Bharta Pulav With Salad,Sikkim,Lunch,593,11.0,70.7,22.1,Veg
Jitok Malai Kofta Curry With Rice,Nagaland,Lunch,435,13.4,58.7,15.6,Veg
Baingan Bharta Pulav With Salad,Jammu and Kashmir,Lunch,659,11.3,80.3,14.9,Veg
Kebabs (Veg) Style Baingan Bharta Biryani (Veg),Delhi,Lunch,432,15.2,60.2,12.4,Veg
Ambot Style Vegetable Biryani Biryani (Veg),Goa,Lunch,565,11.7,72.7,13.5,Veg
Manipur Bisi Bele Bath With Curd,Manipur,Lunch,503,7.5,61.4,11.4,Veg
Bhindi Masala Pulav With Salad,Sikkim,Lunch,531,6.7,65.6,18.2,Veg
Palak Paneer Pulav With Salad,Tamil Nadu,Lunch,431,11.1,64.5,16.0,Veg
Punjab Baingan Bharta With Salad,Punjab,Lunch,420,16.3,64.8,9.9,Veg
Gujarat Khichdi With Chapati,Gujarat,Lunch,672,11.4,82.1,22.3,Veg
Badi Style Mixed Veg Curry Biryani (Veg),Chhattisgarh,Lunch,454,16.7,64.2,15.2,Veg
Tripura Matar Paneer With Roti,Tripura,Lunch,681,11.6,88.1,16.9,Veg
Arbi Malai Kofta Curry With Rice,Jharkhand,Lunch,590,11.8,85.1,21.2,Veg
Gutti Vankaya Dal Thali,Uttar Pradesh,Lunch,592,16.7,94.0,15.7,Veg
Malai Kofta Pulav With Salad,Madhya Pradesh,Lunch,545,14.3,75.4,21.1,Veg
Sarson Dal Tadka Curry With Rice,Haryana,Lunch,411,16.8,65.6,14.8,Veg
Khatta Style Dal Makhani (Veg) Biryani (Veg),Himachal Pradesh,Lunch,479,7.3,64.9,11.9,Veg
Mooli Style Baingan Bharta Biryani (Veg),Punjab,Lunch,553,7.3,73.3,20.7,Veg
Bamboo Bisi Bele Bath Curry With Rice,Nagaland,Lunch,695,17.5,81.5,22.9,Veg
Sambar Pulav With Salad,Kerala,Lunch,571,10.9,87.6,16.7,Veg
Sambar Rice Sambar Thali,Delhi,Lunch,595,6.8,82.5,16.4,Veg
Badi Rasam Rice Curry With Rice,Chhattisgarh,Lunch,478,6.7,71.3,13.8,Veg
Tilkut Style Gutti Vankaya Biryani (Veg),Madhya Pradesh,Lunch,621,10.1,82.1,15.2,Veg
Ragi Style Vegetable Biryani Biryani (Veg),Karnataka,Lunch,534,7.2,73.5,18.8,Veg
Rasam Rice Pulav With Salad,Telangana,Lunch,602,15.1,73.6,19.6,Veg
Khichdi Chutney Thali,Nagaland,Lunch,620,10.5,98.4,14.7,Veg
Matar Paneer Pulav With Salad,Manipur,Lunch,564,10.8,81.9,19.8,Veg
Patal Style Baingan Bharta Biryani (Veg),Maharashtra,Lunch,625,6.6,95.9,16.0,Veg
West Bengal Rasam Rice With Chapati,West Bengal,Lunch,524,19.3,83.2,19.2,Veg
Punjab Aloo Gobi With Chapati,Punjab,Lunch,556,12.3,63.2,14.3,Veg
Palak Paneer Dal Thali,Jammu and Kashmir,Lunch,680,12.8,101.3,16.7,Veg
Dal Tadka Pulav With Salad,Tripura,Lunch,422,9.6,48.7,10.8,Veg
Mui Gutti Vankaya Curry With Rice,Tripura,Lunch,404,6.9,58.8,13.4,Veg
Himachal Pradesh Baingan Bharta With Salad,Himachal Pradesh,Lunch,597,9.2,78.5,23.0,Veg
Kadhi Chawal Pulav With Salad,Andhra Pradesh,Lunch,495,8.8,79.6,15.6,Veg
Tripura Dal Tadka With Dal,Tripura,Lunch,570,12.9,85.3,12.8,Veg
Singju Baingan Bharta Curry With Rice,Manipur,Lunch,541,17.4,77.8,19.9,Veg
Aloo Ke Gutke Style Dal Tadka Biryani (Veg),Uttarakhand,Lunch,574,18.6,83.4,13.6,Veg
Litti Style Khichdi Biryani (Veg),Bihar,Lunch,693,8.1,111.6,25.9,Veg
Arbi Style Malai Kofta Biryani (Veg),Uttar Pradesh,Lunch,470,14.1,69.0,12.0,Veg
Saaru Style Aloo Gobi Biryani (Veg),Telangana,Lunch,689,18.8,88.5,21.7,Veg
Sambar Rice Curd Thali,Nagaland,Lunch,415,16.7,65.0,12.1,Veg
Pittha Style Rajma Biryani (Veg),Jharkhand,Lunch,518,9.2,59.0,12.2,Veg
Vegetable Biryani Rasam Thali,Mizoram,Lunch,591,8.6,77.9,17.8,Veg
Palak Paneer Poriyal Thali,Maharashtra,Lunch,538,19.3,66.5,18.0,Veg
Gujarat Palak Paneer With Papad,Gujarat,Lunch,650,15.6,101.3,24.1,Veg
Odisha Bhindi Masala With Chapati,Odisha,Lunch,560,11.5,89.3,17.8,Veg
Jammu And Kashmir Khichdi With Chutney,Jammu and Kashmir,Lunch,633,17.6,72.6,24.6,Veg
Dal Makhani (Veg) Pulav With Salad,Goa,Lunch,664,16.7,106.7,16.9,Veg
Dalpithi Bhindi Masala Curry With Rice,Madhya Pradesh,Lunch,616,10.1,97.6,20.8,Veg
Rasam Rice Pulav With Salad,Uttarakhand,Lunch,656,7.6,99.3,24.8,Veg
Dal Makhani (Veg) Poriyal Thali,Tripura,Lunch,630,6.3,85.2,23.4,Veg
Palak Paneer Pulav With Salad,Uttarakhand,Lunch,483,16.1,57.3,11.7,Veg
Madhya Pradesh Baingan Bharta With Chapati,Madhya Pradesh,Lunch,661,14.6,79.6,20.8,Veg
Keera Mixed Veg Curry Curry With Rice,Kerala,Lunch,483,18.2,58.7,16.5,Veg
Chana Aloo Gobi Curry With Rice,Odisha,Lunch,492,7.6,58.6,12.6,Veg
Jharkhand Rajma With Papad,Jharkhand,Lunch,678,17.3,96.9,20.6,Veg
Sambar Pulav With Salad,Gujarat,Lunch,440,14.4,49.6,16.2,Veg
Mooli Style Gutti Vankaya Biryani (Veg),Punjab,Lunch,475,6.8,61.7,11.7,Veg
Kakka Style Sambar Biryani (Veg),Kerala,Lunch,425,7.5,68.9,10.6,Veg
Chaulai Style Gutti Vankaya Biryani (Veg),Haryana,Lunch,490,19.5,73.5,13.8,Veg
Kakka Bisi Bele Bath Curry With Rice,Kerala,Lunch,434,16.6,67.1,10.1,Veg
