Dish Name,Region,Meal Type,Calories (kcal),Protein (g),Carbs (g),Fat (g),Food Type
Sandwich (Veg) And Sambar,Rajasthan,Breakfast,315,15.7,50.2,8.6,Both
Vellari Ragi Dosa Special,Kerala,Breakfast,319,14.0,43.7,8.0,Both
Jammu And Kashmir Style Pongal Delight,Jammu and Kashmir,Breakfast,465,25.2,55.8,17.3,Both
Chak-Hao Appam Special,Manipur,Breakfast,469,8.9,69.6,15.7,Both
Bhature Khichdi Special,Himachal Pradesh,Breakfast,413,8.7,63.1,13.8,Both
Chak-Hao Vegetable Uttapam,Manipur,Breakfast,519,22.5,63.9,20.2,Both
Chicken Kheema Sandwich And Papad,Haryana,Breakfast,292,9.4,47.1,9.0,Both
Khichdi And Poriyal,Haryana,Breakfast,438,26.6,54.1,16.5,Both
Bajra Idli Special,Punjab,Breakfast,489,21.7,76.5,16.9,Both
Uttarakhand Style Keema Paratha Traditional,Uttarakhand,Breakfast,372,17.0,53.6,9.3,Both
Eggy Poha Classic With Poriyal,Assam,Breakfast,354,13.7,56.0,8.7,Both
Keema Paratha Lite With Raita,Madhya Pradesh,Breakfast,435,27.4,68.1,16.3,Both
Mooli Egg Bhurji Paratha Special,Punjab,Breakfast,418,20.6,51.0,14.0,Both
Keerai Paratha,Rajasthan,Breakfast,333,9.2,39.1,12.7,Both
Keema Paratha And Dal,Jharkhand,Breakfast,473,31.5,62.6,14.5,Both
Nadru Missal Special,Jammu and Kashmir,Breakfast,366,15.3,45.8,13.6,Both
Idli Special With Pickle,Punjab,Breakfast,546,33.8,78.4,15.1,Both
Upma Special With Salad,Meghalaya,Breakfast,396,26.8,49.2,9.5,Both
Rajasthan Style Besan Chilla Classic,Rajasthan,Breakfast,377,15.2,50.3,8.8,Both
Egg Dosa Classic With Papad,Telangana,Breakfast,406,25.1,58.1,14.5,Both
Chicken Kheema Sandwich Special With Roti,Karnataka,Breakfast,319,18.4,37.4,11.2,Both
Maharashtra Style Idli Classic,Maharashtra,Breakfast,330,17.8,40.7,12.4,Both
Fish Fry With Bread And Roti,Rajasthan,Breakfast,391,26.3,49.7,8.7,Both
Jammu And Kashmir Style Ragi Dosa Special,Jammu and Kashmir,Breakfast,373,14.6,52.2,14.0,Both
Assam Style Ragi Dosa Classic,Assam,Breakfast,458,24.3,72.1,17.4,Both
Anda Uttapam And Steamed Rice,Andhra Pradesh,Breakfast,484,32.4,71.3,10.9,Both
Tripura Style Idli Lite,Tripura,Breakfast,320,33.7,42.0,8.9,Both
Appam Classic With Salad,Uttarakhand,Breakfast,402,14.9,49.6,14.7,Both
Chicken Kheema Sandwich And Pickle,Himachal Pradesh,Breakfast,440,15.7,60.3,13.0,Both
Poha And Chapati,Andhra Pradesh,Breakfast,511,8.3,69.8,15.9,Both
Batata Dosa,Maharashtra,Breakfast,401,25.7,59.8,12.4,Both
Besan Chilla Lite With Steamed Rice,Delhi,Breakfast,338,12.8,41.5,8.1,Both
Manipur Style Anda Uttapam Classic,Manipur,Breakfast,389,12.8,57.3,12.2,Both
Saaru Anda Uttapam,Telangana,Breakfast,476,12.3,57.1,17.5,Both
Uttarakhand Style Ragi Dosa Special,Uttarakhand,Breakfast,503,20.6,65.3,13.6,Both
Keema Paratha Homestyle With Poriyal,Goa,Breakfast,293,10.7,44.1,8.5,Both
Goa Style Poha Lite,Goa,Breakfast,490,27.9,78.5,10.9,Both
Arbi Poha,Uttar Pradesh,Breakfast,411,28.4,55.1,10.7,Both
Ragi Dosa Classic With Rasam,Tamil Nadu,Breakfast,433,10.3,63.6,16.3,Both
Uttar Pradesh Style Appam Special,Uttar Pradesh,Breakfast,464,29.4,54.0,14.3,Both
Kela Ragi Dosa Special,Uttar Pradesh,Breakfast,508,9.7,77.0,15.6,Both
Chana Kuzhi Paniyaram Special,Odisha,Breakfast,283,23.1,42.1,11.0,Both
Kuzhi Paniyaram And Steamed Rice,Sikkim,Breakfast,300,17.2,41.4,8.3,Both
Tripura Style Idli Homestyle,Tripura,Breakfast,365,20.3,51.9,10.8,Both
Keema Paratha Classic With Curd,Himachal Pradesh,Breakfast,293,11.2,43.1,10.9,Both
Pappu Idli,Telangana,Breakfast,312,30.3,39.1,9.2,Both
Ringna Missal Special,Gujarat,Breakfast,300,17.8,36.4,6.9,Both
Uttar Pradesh Style Upma Lite,Uttar Pradesh,Breakfast,419,31.1,57.1,9.9,Both
Karnataka Style Kuzhi Paniyaram Classic,Karnataka,Breakfast,460,33.4,71.5,14.6,Both
Bhature Sattu Paratha Special,Himachal Pradesh,Breakfast,325,12.4,52.1,11.5,Both
Dosa And Sambar,Punjab,Breakfast,432,22.7,50.3,11.4,Both
Manipur Style Sattu Paratha Special,Manipur,Breakfast,331,34.9,52.9,8.9,Both
Thepla And Roti,Himachal Pradesh,Breakfast,485,20.5,64.7,11.4,Both
Thepla Homestyle With Rasam,Delhi,Breakfast,294,10.6,33.6,7.3,Both
Kuzhi Paniyaram And Pickle,Andhra Pradesh,Breakfast,527,31.5,71.6,18.7,Both
Pongal Traditional With Sambar,Telangana,Breakfast,459,33.8,58.6,14.1,Both
Kuzhi Paniyaram And Pickle,Maharashtra,Breakfast,356,9.6,56.4,11.7,Both
Egg Bhurji Paratha Classic With Salad,Sikkim,Breakfast,522,29.2,68.1,16.0,Both
Kuzhi Paniyaram Delight With Rasam,Maharashtra,Breakfast,390,25.0,50.5,11.7,Both
Manipur Style Egg Dosa Traditional,Manipur,Breakfast,295,32.1,42.2,9.4,Both
Anda Uttapam And Chapati,Bihar,Breakfast,550,16.3,72.4,17.1,Both
Pongal And Rasam,Punjab,Breakfast,399,16.6,60.0,14.2,Both
Pongal Classic With Chutney,West Bengal,Breakfast,493,25.9,65.5,17.4,Both
Sandwich (Veg) Delight With Raita,Telangana,Breakfast,439,32.2,70.0,14.4,Both
Poha And Raita,Kerala,Breakfast,418,29.0,49.5,14.1,Both
Bimmas Upma,Telangana,Breakfast,410,31.8,66.3,10.3,Both
Kharan Classic With Curd,Delhi,Breakfast,494,12.9,60.9,14.0,Both
Kakka Khichdi,Kerala,Breakfast,340,28.0,53.3,12.9,Both
Bhinda Paratha,Gujarat,Breakfast,333,20.6,41.9,10.6,Both
Bathua Vegetable Uttapam,Haryana,Breakfast,365,28.7,42.5,11.5,Both
Khichdi Delight With Poriyal,Tripura,Breakfast,538,11.0,70.4,13.4,Both
Poha And Roti,Andhra Pradesh,Breakfast,368,32.4,53.6,9.9,Both
Chila Sevai Special,Chhattisgarh,Breakfast,505,27.7,65.0,16.7,Both
Saag Sevai Special,Jharkhand,Breakfast,340,17.7,52.8,7.9,Both
Uttar Pradesh Style Eggy Poha Lite,Uttar Pradesh,Breakfast,318,29.5,39.3,8.5,Both
Vegetable Uttapam Traditional With Sambar,Uttarakhand,Breakfast,518,29.9,72.7,13.8,Both
Nagaland Style Appam Classic,Nagaland,Breakfast,326,11.8,43.3,8.9,Both
Keema Paratha And Steamed Rice,Rajasthan,Breakfast,476,33.4,60.9,16.5,Both
Punjab Style Egg Dosa Homestyle,Punjab,Breakfast,286,19.5,42.7,9.2,Both
Andhra Pradesh Style Keema Paratha Classic,Andhra Pradesh,Breakfast,491,14.5,66.2,13.4,Both
Eggy Poha Homestyle With Dal,Andhra Pradesh,Breakfast,298,18.4,33.7,7.0,Both
Paratha And Pickle,Mizoram,Breakfast,284,10.8,44.7,7.8,Both
Keema Paratha Special With Poriyal,Telangana,Breakfast,280,32.6,42.2,7.1,Both
Maskaa Ragi Dosa Special,Assam,Breakfast,541,34.0,78.1,13.0,Both
Patal Dosa Special,Maharashtra,Breakfast,431,11.8,49.3,12.9,Both
Chicken Kheema Sandwich And Rasam,Bihar,Breakfast,511,21.6,64.2,11.6,Both
Kerala Style Egg Dosa Traditional,Kerala,Breakfast,418,11.7,55.2,13.8,Both
Fish Fry With Bread And Raita,Rajasthan,Breakfast,496,9.8,80.1,15.8,Both
Modak Sattu Paratha,Maharashtra,Breakfast,419,20.3,53.9,12.6,Both
Appam And Dal,Odisha,Breakfast,397,8.8,50.9,12.0,Both
Maskaa Anda Uttapam Special,Assam,Breakfast,507,19.7,68.9,17.3,Both
Mirapakaya Dosa,Andhra Pradesh,Breakfast,419,27.7,58.4,11.5,Both
Paratha Delight With Sambar,Mizoram,Breakfast,454,34.3,60.9,10.3,Both
Soppu Sattu Paratha,Telangana,Breakfast,476,19.5,53.9,15.5,Both
Muthiya Dhokla,Gujarat,Breakfast,528,16.8,61.6,13.2,Both
Kakka Upma Special,Kerala,Breakfast,364,25.9,47.9,13.2,Both
Bajre Poha Special,Haryana,Breakfast,422,17.3,53.7,12.9,Both
Sevai Traditional With Poriyal,Meghalaya,Breakfast,403,17.1,61.5,13.3,Both
Chicken Kheema Sandwich And Pickle,Assam,Breakfast,508,27.5,67.8,17.1,Both
Panta Chicken Kheema Sandwich,West Bengal,Breakfast,409,23.1,61.3,14.0,Both
Keema Paratha Delight With Chutney,Nagaland,Breakfast,367,33.5,58.5,12.7,Both
Khichdi And Roti,Punjab,Breakfast,306,10.2,41.9,8.5,Both
Ragi Dosa And Roti,Maharashtra,Breakfast,369,24.8,51.9,12.9,Both
Thepla Classic With Roti,Odisha,Breakfast,483,21.4,70.7,15.4,Both
Siddu Vegetable Uttapam Special,Himachal Pradesh,Breakfast,394,25.9,51.0,9.0,Both
Kothavarangai Dosa Special,Tamil Nadu,Breakfast,455,23.4,53.1,11.1,Both
Gongura Kharan Special,Telangana,Breakfast,393,30.6,54.9,9.2,Both
Muthiya Anda Uttapam Special,Gujarat,Breakfast,406,17.0,58.2,11.8,Both
Pongal And Sambar,Haryana,Breakfast,310,21.8,37.1,8.9,Both
Keerai Appam,Rajasthan,Breakfast,549,24.2,76.2,13.9,Both
Sattu Paratha Classic With Pickle,Telangana,Breakfast,376,25.8,55.3,8.6,Both
Katancha Egg Bhurji Paratha Special,Andhra Pradesh,Breakfast,476,9.3,59.4,18.4,Both
Eggy Poha Traditional With Dal,Nagaland,Breakfast,429,15.6,59.6,11.7,Both
Egg Dosa And Steamed Rice,Odisha,Breakfast,288,25.0,45.6,6.8,Both
Xaak Besan Chilla Special,Assam,Breakfast,314,8.8,39.1,9.2,Both
Keema Paratha And Papad,Nagaland,Breakfast,512,14.5,68.3,17.9,Both
Dalpithi Missal,Madhya Pradesh,Breakfast,449,24.7,51.8,11.9,Both
Sanna Poha Special,Goa,Breakfast,408,13.5,61.6,14.0,Both
Dosa Delight With Rasam,Andhra Pradesh,Breakfast,441,18.0,54.8,10.2,Both
Keema Paratha Delight With Chapati,Jharkhand,Breakfast,376,25.6,58.8,9.6,Both
Manipur Style Keema Paratha Classic,Manipur,Breakfast,441,17.1,66.9,13.2,Both
Pappu Missal,Telangana,Breakfast,496,8.4,66.7,17.0,Both
Uttar Pradesh Style Egg Dosa Classic,Uttar Pradesh,Breakfast,524,19.8,61.8,19.8,Both
Dalma Khichdi Special,Odisha,Breakfast,349,20.2,54.6,12.9,Both
Madhya Pradesh Style Puttu Traditional,Madhya Pradesh,Breakfast,307,19.8,39.6,9.3,Both
Dhokla Delight With Curd,Maharashtra,Breakfast,464,21.7,57.0,13.9,Both
Mirapakaya Ragi Dosa,Andhra Pradesh,Breakfast,415,22.3,62.6,13.4,Both
Avarekai Vegetable Uttapam Special,Karnataka,Breakfast,322,18.4,47.9,10.5,Both
Avarekai Keema Paratha Special,Karnataka,Breakfast,430,35.0,57.7,15.1,Both
Pappu Puttu Special,Telangana,Breakfast,317,34.2,38.4,11.7,Both
Singodi Keema Paratha Special,Uttarakhand,Breakfast,467,16.9,64.1,10.5,Both
Bengalgram Sattu Paratha Special,Karnataka,Breakfast,457,28.6,54.3,15.4,Both
Bihar Style Kuzhi Paniyaram Delight,Bihar,Breakfast,496,21.2,74.6,18.9,Both
Dosa Special With Chapati,Uttarakhand,Breakfast,309,29.5,39.5,7.3,Both
Assam Style Egg Bhurji Paratha Traditional,Assam,Breakfast,496,9.2,62.0,14.4,Both
Soppu Anda Uttapam,Rajasthan,Breakfast,345,29.7,51.7,9.9,Both
Dhokla And Curd,Punjab,Breakfast,456,15.8,55.4,14.0,Both
Anda Uttapam Classic With Roti,Himachal Pradesh,Breakfast,484,21.2,76.2,13.5,Both
Karnataka Style Dhokla Classic,Karnataka,Breakfast,540,9.9,70.4,16.2,Both
Chakhwi Thepla,Tripura,Breakfast,321,31.2,42.8,12.4,Both
Uttarakhand Style Khichdi Homestyle,Uttarakhand,Breakfast,402,18.5,53.4,9.0,Both
Fara Dhokla,Chhattisgarh,Breakfast,339,31.3,39.4,8.7,Both
Kharan Traditional With Curd,Uttar Pradesh,Breakfast,470,33.1,64.9,13.4,Both
Jharkhand Style Missal Special,Jharkhand,Breakfast,354,25.3,47.4,11.2,Both
Kulcha Keema Paratha,Delhi,Breakfast,478,23.7,67.0,14.8,Both
Badi Chicken Kheema Sandwich Special,Chhattisgarh,Breakfast,381,10.3,51.0,9.9,Both
Ragi Dosa And Salad,West Bengal,Breakfast,384,18.5,60.0,14.9,Both
Modak Chicken Kheema Sandwich,Maharashtra,Breakfast,496,14.8,61.6,18.8,Both
Bimmas Sandwich (Veg),Telangana,Breakfast,285,11.0,37.6,11.0,Both
Mizoram Style Sevai Homestyle,Mizoram,Breakfast,404,20.6,59.2,9.1,Both
Ambot Dhokla,Goa,Breakfast,282,19.3,33.8,7.2,Both
Chana Appam,Odisha,Breakfast,460,21.2,60.3,15.0,Both
Chaulai Ragi Dosa Special,Haryana,Breakfast,280,29.6,43.8,10.1,Both
Dosa Delight With Papad,Tripura,Breakfast,289,13.9,34.4,10.1,Both
Egg Bhurji Paratha And Chapati,Maharashtra,Breakfast,385,28.2,49.6,12.9,Both
Keerai Eggy Poha,Rajasthan,Breakfast,543,26.6,65.2,20.8,Both
Punjab Style Besan Chilla Lite,Punjab,Breakfast,448,21.7,72.5,17.2,Both
Singju Upma Special,Manipur,Breakfast,312,27.2,36.6,11.8,Both
Goa Style Chicken Kheema Sandwich Classic,Goa,Breakfast,295,29.9,36.3,8.5,Both
Missal Lite With Steamed Rice,Bihar,Breakfast,435,21.0,60.0,14.4,Both
Modak Kharan,Maharashtra,Breakfast,452,8.3,55.4,15.2,Both
Dosa Special With Salad,Jharkhand,Breakfast,395,21.2,48.8,12.9,Both
Gujarat Style Anda Uttapam Lite,Gujarat,Breakfast,408,28.0,48.5,13.8,Both
Thepla And Chutney,Tripura,Breakfast,455,9.3,69.5,16.1,Both
Keerai Dosa,Rajasthan,Breakfast,311,20.3,36.0,10.5,Both
Sawhchiar Missal,Mizoram,Breakfast,429,29.5,61.2,13.1,Both
Karnataka Style Thepla Homestyle,Karnataka,Breakfast,506,21.4,63.7,12.0,Both
Bihar Style Keema Paratha Homestyle,Bihar,Breakfast,491,30.7,58.6,18.3,Both
Pongal And Rasam,Maharashtra,Breakfast,447,25.7,66.1,14.1,Both
Idli Classic With Salad,Punjab,Breakfast,414,23.7,52.7,13.8,Both
Smoked Fish Fry With Bread,Nagaland,Breakfast,489,31.3,56.9,18.1,Both
Bhature Besan Chilla Special,Himachal Pradesh,Breakfast,454,8.4,67.8,16.8,Both
Chakko Egg Bhurji Paratha Special,Kerala,Breakfast,457,27.4,68.4,14.1,Both
Gongura Appam Special,Telangana,Breakfast,376,18.4,42.6,9.1,Both
Mizoram Style Khichdi Homestyle,Mizoram,Breakfast,295,19.2,34.8,10.4,Both
Puttu And Chapati,Manipur,Breakfast,532,22.4,86.3,15.7,Both
Fish Curry Raita Thali,Tamil Nadu,Lunch,814,13.8,129.8,19.4,Both
Karnataka Mixed Veg Curry With Rasam,Karnataka,Lunch,652,31.0,87.3,16.9,Both
Dal Tadka Raita Thali,Maharashtra,Lunch,846,14.8,104.6,31.4,Both
Matar Paneer Pulav With Salad,West Bengal,Lunch,501,23.6,73.8,14.0,Both
Kang Mutton Biryani Curry With Rice,Manipur,Lunch,549,23.9,75.2,12.5,Both
Bhindi Masala Pulav With Salad,Punjab,Lunch,488,18.6,72.6,10.9,Both
Bamboo Kadhi Chawal Curry With Rice,Nagaland,Lunch,722,21.4,116.1,24.7,Both
Keera Egg Curry Curry With Rice,Kerala,Lunch,723,11.4,112.1,20.0,Both
Pappu Style Rasam Rice Biryani (Veg),Andhra Pradesh,Lunch,515,16.5,83.3,18.1,Both
Uttarakhand Vegetable Pulao With Pickle,Uttarakhand,Lunch,476,16.3,73.8,16.8,Both
Karela Sambar Rice Curry With Rice,Bihar,Lunch,843,27.8,96.6,19.7,Both
Chhattisgarh Fish Curry With Papad,Chhattisgarh,Lunch,715,21.7,91.9,20.6,Both
Egg Curry Chapati Thali,Himachal Pradesh,Lunch,594,14.6,78.8,18.9,Both
Punjab Sambar With Rasam,Punjab,Lunch,503,13.7,71.0,13.8,Both
Bhindi Masala Pulav With Salad,Chhattisgarh,Lunch,523,10.9,83.9,14.7,Both
Gongura Style Roasted Fish With Rice Biryani (Veg),Telangana,Lunch,539,17.7,62.5,12.8,Both
Uttarakhand Sambar With Roti,Uttarakhand,Lunch,757,16.1,113.5,24.1,Both
Bhaji Style Fish Curry Biryani (Veg),Maharashtra,Lunch,610,23.2,87.6,21.1,Both
Vegetable Pulao Raita Thali,Chhattisgarh,Lunch,727,27.2,106.5,28.1,Both
Mutton Biryani Pulav With Salad,Bihar,Lunch,534,30.7,74.1,20.2,Both
Uttarakhand Fish Pulav With Roti,Uttarakhand,Lunch,458,25.5,64.4,16.4,Both
Dal Makhani (Veg) Papad Thali,Assam,Lunch,598,26.1,86.8,13.5,Both
Khichdi Raita Thali,Andhra Pradesh,Lunch,803,28.4,117.0,26.3,Both
Fish Curry Pulav With Salad,Delhi,Lunch,835,18.3,115.2,30.8,Both
Bora Sambar Rice Curry With Rice,Assam,Lunch,732,16.8,90.5,26.3,Both
Bisi Bele Bath Pulav With Salad,Andhra Pradesh,Lunch,624,19.8,84.2,22.6,Both
Pitika Style Bisi Bele Bath Biryani (Veg),Assam,Lunch,736,22.9,87.8,16.8,Both
Vegetable Pulao Papad Thali,Rajasthan,Lunch,674,15.3,87.9,22.0,Both
Mixed Veg Curry Raita Thali,Himachal Pradesh,Lunch,456,18.2,62.4,13.8,Both
Mutton Biryani Roti Thali,Jharkhand,Lunch,691,25.9,83.8,19.1,Both
Chicken Chettinad Pulav With Salad,Mizoram,Lunch,594,23.6,79.1,22.6,Both
Tripura Baingan Bharta With Pickle,Tripura,Lunch,681,17.6,82.7,20.2,Both
Chaulai Chicken Biryani Curry With Rice,Haryana,Lunch,615,11.8,82.1,22.3,Both
Jharkhand Sambar With Dal,Jharkhand,Lunch,503,28.6,59.2,12.1,Both
Matar Paneer Pulav With Salad,Nagaland,Lunch,728,31.3,84.6,21.8,Both
Prawn Masala Pulav With Salad,Haryana,Lunch,638,9.6,85.0,23.4,Both
Nadru Style Dal Tadka Biryani (Veg),Jammu and Kashmir,Lunch,826,13.7,95.7,26.4,Both
Sarson Matar Paneer Curry With Rice,Punjab,Lunch,613,21.7,82.1,16.2,Both
Phagshapa Aloo Gobi Curry With Rice,Sikkim,Lunch,573,31.1,86.7,18.3,Both
Keerai Style Aloo Gobi Biryani (Veg),Rajasthan,Lunch,843,16.7,97.1,19.8,Both
Chole Chicken Chettinad Curry With Rice,Delhi,Lunch,518,18.9,72.1,11.6,Both
Palak Paneer Steamed Rice Thali,Sikkim,Lunch,524,20.5,68.8,17.5,Both
Fish Curry Pulav With Salad,Nagaland,Lunch,711,32.6,93.4,26.9,Both
Rajma Pulav With Salad,Nagaland,Lunch,560,25.1,63.7,18.8,Both
Panta Chicken Curry Curry With Rice,West Bengal,Lunch,835,31.5,101.7,25.9,Both
Mutton Biryani Roti Thali,Chhattisgarh,Lunch,529,12.8,74.6,14.2,Both
Chicken Biryani Curd Thali,Mizoram,Lunch,835,26.8,130.1,29.2,Both
Bhindi Masala Raita Thali,Delhi,Lunch,746,14.8,111.2,27.9,Both
Cholar Rajma Curry With Rice,West Bengal,Lunch,726,24.5,93.2,27.0,Both
Roasted Fish With Rice Salad Thali,Uttarakhand,Lunch,476,32.0,61.8,12.4,Both
Chicken Chettinad Curd Thali,Gujarat,Lunch,693,13.2,101.1,25.5,Both
Aloo Gobi Pulav With Salad,Tamil Nadu,Lunch,644,17.7,75.7,23.2,Both
Sambar Pulav With Salad,Goa,Lunch,525,29.0,79.9,12.2,Both
Chana Style Mixed Veg Curry Biryani (Veg),Odisha,Lunch,647,15.9,93.0,17.6,Both
Karela Style Vegetable Pulao Biryani (Veg),Bihar,Lunch,460,23.6,71.3,14.4,Both
Bhaji Style Khichdi Biryani (Veg),Maharashtra,Lunch,790,13.8,97.1,22.8,Both
Keerai Style Dal Tadka Biryani (Veg),Rajasthan,Lunch,502,20.7,75.2,19.2,Both
Telangana Khichdi With Raita,Telangana,Lunch,657,16.4,75.5,23.6,Both
Chicken Biryani Pulav With Salad,Haryana,Lunch,773,10.4,118.2,20.3,Both
Chicken Curry Raita Thali,Delhi,Lunch,481,27.3,70.7,13.8,Both
Egg Curry Pulav With Salad,Rajasthan,Lunch,718,15.4,110.8,19.6,Both
Haryana Egg Curry With Steamed Rice,Haryana,Lunch,682,24.6,108.3,26.0,Both
Gongura Style Mixed Veg Curry Biryani (Veg),Telangana,Lunch,774,8.0,99.2,22.7,Both
Bhindi Masala Pulav With Salad,Kerala,Lunch,480,12.9,63.3,10.7,Both
Odisha Sambar With Papad,Odisha,Lunch,763,25.8,93.4,27.5,Both
Sambar Rice Pulav With Salad,Jharkhand,Lunch,487,34.0,64.9,15.9,Both
Tsaman Dal Makhani (Veg) Curry With Rice,Jammu and Kashmir,Lunch,525,32.5,70.4,12.2,Both
Vangi Roasted Fish With Rice Curry With Rice,Maharashtra,Lunch,742,13.3,93.3,19.6,Both
Dal Tadka Pulav With Salad,Punjab,Lunch,778,33.0,114.2,27.1,Both
Dhuska Khichdi Curry With Rice,Jharkhand,Lunch,788,25.8,127.7,25.9,Both
Dal Tadka Pulav With Salad,Nagaland,Lunch,579,22.6,71.9,15.0,Both
Gujarat Egg Curry With Roti,Gujarat,Lunch,580,20.3,87.3,16.3,Both
Nagaland Chicken Biryani With Rasam,Nagaland,Lunch,805,12.5,120.9,25.7,Both
Dal Tadka Steamed Rice Thali,Maharashtra,Lunch,486,17.6,70.6,11.2,Both
Kouk Mutton Biryani Curry With Rice,Chhattisgarh,Lunch,650,22.8,77.0,23.3,Both
Gutti Vankaya Pulav With Salad,Odisha,Lunch,617,28.5,84.1,16.1,Both
Bamboo Rasam Rice Curry With Rice,Tripura,Lunch,757,16.0,87.2,27.1,Both
Egg Curry Sambar Thali,Tripura,Lunch,836,12.5,104.5,24.1,Both
Chicken Biryani Raita Thali,Telangana,Lunch,594,16.0,89.4,22.4,Both
Fish Pulav Steamed Rice Thali,Manipur,Lunch,631,14.9,89.8,20.2,Both
Gongura Style Fish Pulav Biryani (Veg),Telangana,Lunch,459,13.2,74.3,14.2,Both
Sikkim Rajma With Dal,Sikkim,Lunch,785,14.6,93.3,25.9,Both
Goa Kadhi Chawal With Sambar,Goa,Lunch,793,21.8,108.9,19.0,Both
Fara Dal Tadka Curry With Rice,Chhattisgarh,Lunch,558,20.6,67.5,13.0,Both
Kakka Vegetable Biryani Curry With Rice,Kerala,Lunch,743,26.7,104.7,25.1,Both
Sambar Rice Pulav With Salad,Assam,Lunch,465,13.4,58.3,13.4,Both
Singju Style Chicken Chettinad Biryani (Veg),Manipur,Lunch,618,26.2,84.6,15.9,Both
Chaulai Egg Curry Curry With Rice,Haryana,Lunch,643,33.5,86.6,16.6,Both
Bihar Prawn Masala With Roti,Bihar,Lunch,584,10.8,65.9,14.0,Both
Palak Paneer Pulav With Salad,Tamil Nadu,Lunch,706,25.3,92.0,25.8,Both
Dohneiiong Style Dal Makhani (Veg) Biryani (Veg),Meghalaya,Lunch,560,23.7,84.7,13.5,Both
Rasam Rice Pulav With Salad,Tamil Nadu,Lunch,618,21.0,83.2,15.1,Both
Matar Paneer Pulav With Salad,Himachal Pradesh,Lunch,476,13.9,71.2,14.0,Both
Sattu Style Vegetable Biryani Biryani (Veg),Bihar,Lunch,526,15.1,76.2,12.3,Both
Chana Masala Pulav With Salad,Uttar Pradesh,Lunch,762,30.4,121.8,19.9,Both
Jharkhand Chana Masala With Rasam,Jharkhand,Lunch,573,24.2,68.3,19.4,Both
Delhi Bhindi Masala With Steamed Rice,Delhi,Lunch,627,13.1,89.4,19.8,Both
Chicken Chettinad Chapati Thali,Madhya Pradesh,Lunch,497,10.3,71.3,16.0,Both
Makki Prawn Masala Curry With Rice,Punjab,Lunch,822,21.2,120.1,27.2,Both
Delhi Malai Kofta With Roti,Delhi,Lunch,765,9.1,123.7,22.8,Both
Avarekai Gutti Vankaya Curry With Rice,Karnataka,Lunch,622,23.5,99.4,16.2,Both
Bihar Sambar Rice With Roti,Bihar,Lunch,578,8.6,78.6,21.6,Both
Sattu Style Dal Makhani (Veg) Biryani (Veg),Bihar,Lunch,831,8.5,127.2,28.2,Both
Pitha Chicken Chettinad Curry With Rice,Assam,Lunch,592,32.0,67.5,21.6,Both
Himachal Pradesh Mixed Veg Curry With Steamed Rice,Himachal Pradesh,Lunch,683,25.9,104.2,22.9,Both
Kadala Style Roasted Fish With Rice Biryani (Veg),Odisha,Lunch,613,21.7,74.5,17.8,Both
Haryana Egg Curry With Sambar,Haryana,Lunch,725,31.2,97.5,22.8,Both
Matar Paneer Pulav With Salad,Tripura,Lunch,617,29.8,90.8,19.4,Both
Dal Makhani (Veg) Chutney Thali,Karnataka,Lunch,701,28.5,100.7,25.5,Both
Baingan Bharta Rasam Thali,Goa,Lunch,748,9.7,117.0,16.9,Both
Goa Aloo Gobi With Steamed Rice,Goa,Lunch,848,17.0,111.0,25.4,Both
Soppu Vegetable Pulao Curry With Rice,Rajasthan,Lunch,554,11.3,71.2,17.5,Both
Dal Tadka Pulav With Salad,Assam,Lunch,580,14.9,85.8,21.1,Both
Sarson Prawn Masala Curry With Rice,Punjab,Lunch,832,27.8,95.1,24.7,Both
Vegetable Pulao Roti Thali,Odisha,Lunch,476,27.6,61.0,16.7,Both
Sabji Style Egg Curry Biryani (Veg),Madhya Pradesh,Lunch,660,22.1,79.6,22.7,Both
Sanna Fish Curry Curry With Rice,Goa,Lunch,555,28.1,69.6,17.8,Both
Pitika Style Sambar Biryani (Veg),Assam,Lunch,778,32.8,106.2,19.8,Both
Saga Matar Paneer Curry With Rice,Odisha,Lunch,637,21.7,98.3,23.0,Both
Fish Curry Chutney Thali,Tripura,Lunch,808,16.7,130.2,28.0,Both
Pappu Style Baingan Bharta Biryani (Veg),Telangana,Lunch,804,29.8,108.9,25.3,Both
Mutton Curry Pulav With Salad,Gujarat,Lunch,504,20.8,80.1,17.1,Both
Vegetable Pulao Poriyal Thali,Punjab,Lunch,473,15.9,58.0,11.3,Both
Bhindi Masala Pulav With Salad,Manipur,Lunch,695,29.0,78.2,16.7,Both
Chicken Chettinad Pulav With Salad,Telangana,Lunch,802,20.7,107.8,20.7,Both
Dal Tadka Pulav With Salad,Uttar Pradesh,Lunch,684,12.2,101.6,25.7,Both
Aloo Gobi Dal Thali,Tripura,Lunch,501,21.2,74.4,15.0,Both
Roasted Fish With Rice Sambar Thali,Telangana,Lunch,827,17.4,103.2,19.4,Both
Momos Style Chana Masala Biryani (Veg),Sikkim,Lunch,608,34.9,76.7,18.4,Both
Uttar Pradesh Matar Paneer With Poriyal,Uttar Pradesh,Lunch,712,12.3,103.4,23.9,Both
Odisha Gutti Vankaya With Chapati,Odisha,Lunch,613,27.2,90.5,14.0,Both
Mixed Veg Curry Pulav With Salad,Punjab,Lunch,465,26.9,72.6,14.0,Both
Mutton Biryani Roti Thali,Karnataka,Lunch,478,30.0,70.8,13.7,Both
