Dish Name,Region,Meal Type,Calories (kcal),Protein (g),Carbs (g),Fat (g),Food Type
Keema Paratha Homestyle With Curd,Goa,Breakfast,551,42.3,68.4,19.6,Non-Veg
Anda Uttapam Homestyle With Steamed Rice,Mizoram,Breakfast,314,31.5,40.6,10.0,Non-Veg
Bhaji Chicken Kheema Sandwich Special,Goa,Breakfast,515,28.8,79.6,19.5,Non-Veg
Gundruk Eggy Poha Special,Sikkim,Breakfast,346,35.7,45.5,9.5,Non-Veg
Kothavarangai Chicken Kheema Sandwich Special,Tamil Nadu,Breakfast,363,23.6,43.7,11.6,Non-Veg
West Bengal Style Fish Fry With Bread Homestyle,West Bengal,Breakfast,439,44.8,61.7,13.1,Non-Veg
Egg Bhurji Paratha And Chapati,Himachal Pradesh,Breakfast,300,23.5,48.3,9.0,Non-Veg
Bathua Egg Bhurji Paratha Special,Haryana,Breakfast,452,34.3,64.3,17.0,Non-Veg
Egg Dosa And Poriyal,Uttarakhand,Breakfast,518,37.3,59.1,18.9,Non-Veg
Egg Dosa And Pickle,Kerala,Breakfast,412,31.8,47.1,14.2,Non-Veg
Chicken Kheema Sandwich And Curd,Punjab,Breakfast,525,22.0,82.2,16.6,Non-Veg
Panta Anda Uttapam Special,West Bengal,Breakfast,405,21.2,53.1,12.1,Non-Veg
Kothavarangai Anda Uttapam,Tamil Nadu,Breakfast,570,24.0,75.9,14.6,Non-Veg
Haryana Style Anda Uttapam Traditional,Haryana,Breakfast,568,35.5,79.8,18.0,Non-Veg
Chicken Kheema Sandwich And Salad,Uttar Pradesh,Breakfast,522,26.2,84.1,18.2,Non-Veg
Egg Bhurji Paratha Traditional With Chapati,Delhi,Breakfast,337,39.8,43.1,8.2,Non-Veg
Kouk Chicken Kheema Sandwich Special,Chhattisgarh,Breakfast,424,40.8,67.7,11.2,Non-Veg
Kouk Keema Paratha,Chhattisgarh,Breakfast,509,26.6,70.6,17.0,Non-Veg
Chak-Hao Eggy Poha Special,Manipur,Breakfast,324,34.8,44.6,7.9,Non-Veg
Keema Paratha Classic With Steamed Rice,Nagaland,Breakfast,567,34.6,90.3,13.5,Non-Veg
Kakka Keema Paratha,Kerala,Breakfast,398,27.2,58.9,11.6,Non-Veg
Arbi Keema Paratha Special,Uttar Pradesh,Breakfast,319,26.1,36.6,8.6,Non-Veg
Chana Fish Fry With Bread,Odisha,Breakfast,414,34.2,63.6,10.2,Non-Veg
Axone Fish Fry With Bread,Nagaland,Breakfast,404,38.3,54.8,14.8,Non-Veg
Kulcha Egg Bhurji Paratha Special,Delhi,Breakfast,469,34.6,67.5,17.0,Non-Veg
Chicken Kheema Sandwich And Rasam,Tamil Nadu,Breakfast,411,43.6,51.6,11.6,Non-Veg
Kheera Anda Uttapam,Haryana,Breakfast,413,22.1,51.1,12.9,Non-Veg
Egg Dosa Delight With Curd,West Bengal,Breakfast,508,23.9,74.2,12.4,Non-Veg
Anda Uttapam Traditional With Papad,Delhi,Breakfast,393,26.6,48.3,9.4,Non-Veg
Anda Uttapam And Poriyal,Haryana,Breakfast,502,39.5,70.0,11.4,Non-Veg
Modur Fish Fry With Bread,Jammu and Kashmir,Breakfast,495,38.8,79.4,12.3,Non-Veg
Meghalaya Style Eggy Poha Traditional,Meghalaya,Breakfast,332,31.6,40.5,7.6,Non-Veg
Ringna Fish Fry With Bread,Gujarat,Breakfast,574,39.8,88.5,21.8,Non-Veg
Modak Anda Uttapam Special,Maharashtra,Breakfast,500,28.5,67.5,13.9,Non-Veg
Fish Fry With Bread Delight With Raita,Delhi,Breakfast,566,44.9,81.3,14.8,Non-Veg
Egg Dosa Classic With Poriyal,Telangana,Breakfast,355,25.4,55.5,9.2,Non-Veg
Keerai Anda Uttapam,Rajasthan,Breakfast,334,38.4,39.6,12.4,Non-Veg
Tungrymbai Keema Paratha,Meghalaya,Breakfast,372,39.4,53.2,10.4,Non-Veg
Egg Bhurji Paratha Traditional With Curd,Punjab,Breakfast,489,25.3,56.9,18.2,Non-Veg
Fish Fry With Bread Classic With Curd,Himachal Pradesh,Breakfast,451,31.5,72.1,16.0,Non-Veg
Meghalaya Style Eggy Poha Lite,Meghalaya,Breakfast,383,43.9,55.8,9.4,Non-Veg
Kerala Style Egg Bhurji Paratha Homestyle,Kerala,Breakfast,432,36.5,60.4,14.9,Non-Veg
Fish Fry With Bread And Pickle,Andhra Pradesh,Breakfast,511,22.6,77.6,16.5,Non-Veg
Chaat Anda Uttapam,Delhi,Breakfast,577,25.7,90.1,17.1,Non-Veg
Eggy Poha And Pickle,Meghalaya,Breakfast,332,24.5,42.6,7.6,Non-Veg
Chila Fish Fry With Bread,Chhattisgarh,Breakfast,444,37.8,70.3,15.2,Non-Veg
Anda Uttapam And Steamed Rice,Telangana,Breakfast,531,34.3,84.7,18.8,Non-Veg
Andhra Pradesh Style Anda Uttapam Special,Andhra Pradesh,Breakfast,571,31.4,78.9,14.9,Non-Veg
Panta Eggy Poha Special,West Bengal,Breakfast,325,36.7,51.0,12.1,Non-Veg
Madhya Pradesh Style Fish Fry With Bread Lite,Madhya Pradesh,Breakfast,318,39.9,50.6,10.2,Non-Veg
Ghugni Egg Dosa Special,West Bengal,Breakfast,481,24.5,61.8,17.8,Non-Veg
Egg Dosa And Curd,Mizoram,Breakfast,372,42.6,59.4,12.9,Non-Veg
Keerai Anda Uttapam Special,Rajasthan,Breakfast,310,29.0,39.4,7.6,Non-Veg
Anda Uttapam And Steamed Rice,Bihar,Breakfast,495,41.2,60.4,12.6,Non-Veg
Zu Egg Dosa Special,Nagaland,Breakfast,450,27.6,70.4,16.3,Non-Veg
Bathua Chicken Kheema Sandwich Special,Haryana,Breakfast,597,43.1,67.5,17.9,Non-Veg
Meghalaya Style Anda Uttapam Lite,Meghalaya,Breakfast,493,39.1,72.3,11.5,Non-Veg
Sawhchiar Fish Fry With Bread,Mizoram,Breakfast,529,32.4,76.0,19.7,Non-Veg
Keema Paratha Lite With Rasam,Bihar,Breakfast,462,30.4,58.2,13.7,Non-Veg
Pitika Keema Paratha,Assam,Breakfast,590,23.8,78.7,21.8,Non-Veg
West Bengal Style Chicken Kheema Sandwich Classic,West Bengal,Breakfast,368,20.7,48.2,12.6,Non-Veg
Bhaji Anda Uttapam Special,Maharashtra,Breakfast,465,43.1,74.5,16.3,Non-Veg
Egg Dosa Traditional With Pickle,Gujarat,Breakfast,597,30.1,80.2,17.9,Non-Veg
Fish Fry With Bread Classic With Curd,Nagaland,Breakfast,451,36.6,72.2,10.3,Non-Veg
Baingan Egg Dosa,Bihar,Breakfast,313,36.2,43.8,7.5,Non-Veg
Gujarat Style Eggy Poha Classic,Gujarat,Breakfast,320,21.1,45.2,11.7,Non-Veg
Eggy Poha Special With Steamed Rice,Rajasthan,Breakfast,390,41.3,45.7,14.1,Non-Veg
Dohneiiong Egg Dosa,Meghalaya,Breakfast,357,37.8,49.8,13.1,Non-Veg
Kahwa Keema Paratha Special,Jammu and Kashmir,Breakfast,304,22.6,43.1,9.4,Non-Veg
Sarson Chicken Kheema Sandwich Special,Punjab,Breakfast,456,38.8,70.4,15.3,Non-Veg
Fish Fry With Bread And Rasam,Kerala,Breakfast,554,31.1,76.9,14.6,Non-Veg
Tinda Chicken Kheema Sandwich,Uttar Pradesh,Breakfast,444,43.6,58.8,12.2,Non-Veg
Bamboo Egg Dosa Special,Nagaland,Breakfast,411,27.4,49.9,13.3,Non-Veg
Keema Paratha Delight With Chutney,Tripura,Breakfast,393,20.4,57.8,9.0,Non-Veg
Modak Chicken Kheema Sandwich,Maharashtra,Breakfast,444,38.3,70.8,16.7,Non-Veg
Chhattisgarh Style Fish Fry With Bread Classic,Chhattisgarh,Breakfast,528,23.8,79.5,16.9,Non-Veg
Pittha Chicken Kheema Sandwich,Jharkhand,Breakfast,349,36.3,48.2,8.9,Non-Veg
Nagaland Style Chicken Kheema Sandwich Homestyle,Nagaland,Breakfast,516,30.2,77.1,17.9,Non-Veg
Tripura Style Egg Dosa Delight,Tripura,Breakfast,382,33.5,46.7,11.0,Non-Veg
Delhi Style Egg Dosa Special,Delhi,Breakfast,467,40.2,58.8,17.3,Non-Veg
Bhatt Anda Uttapam Special,Uttarakhand,Breakfast,382,43.1,59.1,12.4,Non-Veg
Ootti Fish Fry With Bread Special,Manipur,Breakfast,530,30.0,78.1,13.2,Non-Veg
Fish Fry With Bread And Raita,Madhya Pradesh,Breakfast,584,44.8,71.7,21.5,Non-Veg
Keema Paratha Homestyle With Papad,Jharkhand,Breakfast,342,32.6,49.3,12.6,Non-Veg
Fish Fry With Bread And Poriyal,Jammu and Kashmir,Breakfast,353,26.2,49.5,13.5,Non-Veg
Andhra Pradesh Style Egg Dosa Lite,Andhra Pradesh,Breakfast,558,39.8,68.4,14.5,Non-Veg
Nagaland Style Fish Fry With Bread Traditional,Nagaland,Breakfast,310,30.2,48.8,9.4,Non-Veg
Andhra Pradesh Style Eggy Poha Lite,Andhra Pradesh,Breakfast,489,40.6,59.1,16.0,Non-Veg
Siddu Chicken Kheema Sandwich Special,Himachal Pradesh,Breakfast,426,39.3,61.2,12.8,Non-Veg
Madhya Pradesh Style Keema Paratha Lite,Madhya Pradesh,Breakfast,356,28.8,50.6,11.3,Non-Veg
Eggy Poha Traditional With Chapati,Jammu and Kashmir,Breakfast,479,36.5,58.2,16.0,Non-Veg
Fish Fry With Bread Traditional With Poriyal,Tripura,Breakfast,504,33.3,75.9,16.3,Non-Veg
West Bengal Style Chicken Kheema Sandwich Homestyle,West Bengal,Breakfast,404,27.7,55.7,12.8,Non-Veg
Vangi Egg Bhurji Paratha,Maharashtra,Breakfast,522,35.7,59.0,15.5,Non-Veg
Chaulai Anda Uttapam Special,Haryana,Breakfast,437,35.7,52.3,14.2,Non-Veg
Pakhala Chicken Kheema Sandwich,Odisha,Breakfast,593,35.5,81.1,18.7,Non-Veg
Kahwa Fish Fry With Bread Special,Jammu and Kashmir,Breakfast,554,26.4,72.1,18.0,Non-Veg
Egg Bhurji Paratha And Chutney,Chhattisgarh,Breakfast,399,40.1,60.9,14.5,Non-Veg
Fara Chicken Kheema Sandwich Special,Chhattisgarh,Breakfast,599,33.3,75.3,16.5,Non-Veg
Chicken Kheema Sandwich Homestyle With Roti,Meghalaya,Breakfast,305,28.2,36.9,11.0,Non-Veg
Anda Uttapam And Papad,Kerala,Breakfast,503,30.0,70.5,18.7,Non-Veg
Sundakkai Fish Fry With Bread Special,Tamil Nadu,Breakfast,429,29.0,50.5,11.1,Non-Veg
Nadru Anda Uttapam Special,Jammu and Kashmir,Breakfast,434,40.8,65.0,10.4,Non-Veg
Keema Paratha Homestyle With Curd,West Bengal,Breakfast,489,42.9,56.2,12.6,Non-Veg
Egg Bhurji Paratha And Chutney,Manipur,Breakfast,482,36.1,54.6,18.5,Non-Veg
Shorshe Keema Paratha,West Bengal,Breakfast,589,24.8,79.2,18.4,Non-Veg
Egg Bhurji Paratha And Rasam,Delhi,Breakfast,557,39.0,88.1,20.8,Non-Veg
Phagshapa Egg Dosa Special,Sikkim,Breakfast,317,20.8,45.7,8.1,Non-Veg
West Bengal Style Eggy Poha Traditional,West Bengal,Breakfast,451,27.6,72.6,11.0,Non-Veg
Egg Dosa And Salad,Jharkhand,Breakfast,475,43.9,66.7,17.9,Non-Veg
Egg Bhurji Paratha Homestyle With Sambar,Punjab,Breakfast,372,39.7,44.2,10.3,Non-Veg
Panta Chicken Kheema Sandwich Special,West Bengal,Breakfast,461,43.3,69.6,11.7,Non-Veg
Delhi Style Anda Uttapam Traditional,Delhi,Breakfast,420,25.4,60.6,14.0,Non-Veg
Madhya Pradesh Style Fish Fry With Bread Traditional,Madhya Pradesh,Breakfast,545,42.5,69.6,14.7,Non-Veg
Khlem Egg Bhurji Paratha,Meghalaya,Breakfast,523,28.2,61.4,18.8,Non-Veg
Chicken Kheema Sandwich Homestyle With Sambar,Rajasthan,Breakfast,341,44.2,43.3,11.7,Non-Veg
Egg Dosa Special With Sambar,Gujarat,Breakfast,427,29.9,62.1,16.2,Non-Veg
Himachal Pradesh Style Fish Fry With Bread Lite,Himachal Pradesh,Breakfast,373,35.8,50.6,9.3,Non-Veg
Chhinam Egg Bhurji Paratha Special,Mizoram,Breakfast,477,33.9,70.7,13.2,Non-Veg
Egg Dosa And Dal,Uttar Pradesh,Breakfast,550,29.2,64.2,12.8,Non-Veg
Baingan Egg Dosa Special,Uttar Pradesh,Breakfast,347,26.5,46.9,9.3,Non-Veg
Vellarikka Fish Fry With Bread,Rajasthan,Breakfast,372,27.4,58.1,12.8,Non-Veg
Chaat Eggy Poha,Delhi,Breakfast,360,28.9,45.9,12.8,Non-Veg
Keema Paratha Classic With Salad,Chhattisgarh,Breakfast,404,20.9,50.1,12.4,Non-Veg
Anda Uttapam Delight With Dal,Tamil Nadu,Breakfast,515,22.1,78.2,17.4,Non-Veg
Vellarikka Fish Fry With Bread Special,Rajasthan,Breakfast,319,32.8,44.0,11.8,Non-Veg
Meghalaya Style Chicken Kheema Sandwich Delight,Meghalaya,Breakfast,545,33.6,66.7,14.7,Non-Veg
Keema Paratha Special With Steamed Rice,Jammu and Kashmir,Breakfast,460,24.5,62.0,12.6,Non-Veg
Fish Fry With Bread Delight With Chapati,Uttar Pradesh,Breakfast,547,40.3,83.0,12.6,Non-Veg
Goa Style Chicken Kheema Sandwich Lite,Goa,Breakfast,544,24.7,68.8,15.5,Non-Veg
Eggy Poha And Chapati,Karnataka,Breakfast,383,34.8,50.7,14.5,Non-Veg
Anda Uttapam Classic With Curd,Haryana,Breakfast,594,26.4,78.0,21.1,Non-Veg
Punjab Style Egg Bhurji Paratha Classic,Punjab,Breakfast,599,39.8,88.0,14.4,Non-Veg
Tsaman Chicken Kheema Sandwich Special,Jammu and Kashmir,Breakfast,595,20.4,93.9,21.5,Non-Veg
Chak-Hao Eggy Poha,Manipur,Breakfast,343,33.5,45.6,10.6,Non-Veg
Egg Bhurji Paratha Traditional With Poriyal,Uttarakhand,Breakfast,563,39.4,71.7,19.6,Non-Veg
Singodi Fish Fry With Bread Special,Uttarakhand,Breakfast,524,24.3,82.8,14.9,Non-Veg
Chhinam Keema Paratha,Mizoram,Breakfast,364,43.6,54.5,13.2,Non-Veg
Anda Uttapam Lite With Papad,Kerala,Breakfast,598,31.6,83.4,19.9,Non-Veg
Manipur Style Fish Fry With Bread Classic,Manipur,Breakfast,576,24.7,82.3,21.1,Non-Veg
Egg Dosa And Pickle,Uttarakhand,Breakfast,570,27.5,91.6,21.5,Non-Veg
Jadoh Egg Dosa,Meghalaya,Breakfast,381,33.1,50.3,11.8,Non-Veg
Anda Uttapam Classic With Raita,Karnataka,Breakfast,557,28.5,74.8,17.4,Non-Veg
Sawhchiar Egg Dosa Special,Mizoram,Breakfast,575,22.0,91.9,16.0,Non-Veg
Tamil Nadu Style Fish Fry With Bread Lite,Tamil Nadu,Breakfast,593,35.8,71.7,14.2,Non-Veg
Madhya Pradesh Style Chicken Kheema Sandwich Delight,Madhya Pradesh,Breakfast,586,41.5,93.0,18.7,Non-Veg
Soppu Fish Fry With Bread,Rajasthan,Breakfast,460,38.6,64.1,10.4,Non-Veg
Soppu Fish Fry With Bread Special,Rajasthan,Breakfast,572,23.1,80.8,17.2,Non-Veg
Gongura Eggy Poha,Telangana,Breakfast,518,21.1,59.8,16.1,Non-Veg
Punjab Style Chicken Kheema Sandwich Special,Punjab,Breakfast,321,27.1,37.1,7.9,Non-Veg
Eggy Poha And Poriyal,Gujarat,Breakfast,475,43.3,72.3,14.8,Non-Veg
Keema Paratha And Papad,Gujarat,Breakfast,411,37.3,56.7,13.2,Non-Veg
Anda Uttapam Classic With Raita,Chhattisgarh,Breakfast,330,37.6,47.5,10.3,Non-Veg
Fish Fry With Bread And Pickle,Delhi,Breakfast,449,31.3,56.0,14.8,Non-Veg
Keema Paratha And Rasam,Delhi,Breakfast,590,24.6,76.6,21.7,Non-Veg
Pappu Keema Paratha,Andhra Pradesh,Breakfast,321,36.5,49.6,12.0,Non-Veg
Keema Paratha Delight With Sambar,Assam,Breakfast,578,34.9,93.8,19.1,Non-Veg
Dalma Egg Dosa,Odisha,Breakfast,566,22.1,86.5,15.0,Non-Veg
Eggy Poha And Sambar,Punjab,Breakfast,536,44.0,69.0,19.9,Non-Veg
Egg Dosa Special With Raita,Jammu and Kashmir,Breakfast,435,23.6,58.1,12.7,Non-Veg
Siddu Fish Fry With Bread Special,Himachal Pradesh,Breakfast,432,36.9,58.4,13.4,Non-Veg
Bore Anda Uttapam Special,Chhattisgarh,Breakfast,311,34.4,43.9,7.1,Non-Veg
Maskaa Keema Paratha,Assam,Breakfast,301,34.2,36.5,9.4,Non-Veg
Egg Dosa And Dal,Gujarat,Breakfast,354,38.9,54.7,12.7,Non-Veg
Mizoram Style Eggy Poha Delight,Mizoram,Breakfast,557,39.0,87.8,17.1,Non-Veg
Chicken Kheema Sandwich And Steamed Rice,Gujarat,Breakfast,483,44.0,59.7,12.6,Non-Veg
Egg Bhurji Paratha And Sambar,Bihar,Breakfast,348,25.8,39.3,7.8,Non-Veg
Madra Egg Dosa,Himachal Pradesh,Breakfast,514,44.2,62.6,12.5,Non-Veg
Saaru Egg Bhurji Paratha,Telangana,Breakfast,334,36.4,40.4,12.3,Non-Veg
Bhatt Egg Dosa Special,Uttarakhand,Breakfast,482,31.3,57.5,12.9,Non-Veg
Punjab Style Egg Dosa Lite,Punjab,Breakfast,553,37.2,85.4,14.8,Non-Veg
Anda Uttapam Delight With Pickle,Chhattisgarh,Breakfast,582,36.1,67.2,17.6,Non-Veg
Jharkhand Style Egg Bhurji Paratha Traditional,Jharkhand,Breakfast,578,43.8,65.8,19.9,Non-Veg
Keema Paratha Classic With Salad,Jammu and Kashmir,Breakfast,508,25.1,61.7,12.0,Non-Veg
Pitika Fish Fry With Bread,Assam,Breakfast,307,26.6,48.2,10.1,Non-Veg
Anda Uttapam And Chutney,Gujarat,Breakfast,326,20.9,41.7,10.1,Non-Veg
Eggy Poha And Sambar,Andhra Pradesh,Breakfast,306,23.7,40.5,10.3,Non-Veg
Egg Dosa Classic With Sambar,Maharashtra,Breakfast,471,39.5,58.6,17.5,Non-Veg
Eggy Poha Traditional With Rasam,Odisha,Breakfast,400,30.2,55.9,9.1,Non-Veg
Keema Paratha And Pickle,Uttar Pradesh,Breakfast,330,22.4,41.1,9.2,Non-Veg
Meghalaya Style Chicken Kheema Sandwich Homestyle,Meghalaya,Breakfast,410,35.4,48.0,14.3,Non-Veg
Eggy Poha And Curd,Kerala,Breakfast,355,25.1,54.4,11.2,Non-Veg
Chicken Kheema Sandwich And Steamed Rice,Nagaland,Breakfast,553,23.6,65.5,19.7,Non-Veg
Makki Egg Bhurji Paratha,Punjab,Breakfast,553,22.8,66.8,19.7,Non-Veg
Karnataka Style Keema Paratha Traditional,Karnataka,Breakfast,425,30.2,68.7,10.5,Non-Veg
Keerai Fish Fry With Bread,Rajasthan,Breakfast,394,29.0,46.2,11.4,Non-Veg
Egg Bhurji Paratha Traditional With Rasam,Telangana,Breakfast,342,23.5,51.0,12.9,Non-Veg
Smoked Egg Dosa Special,Nagaland,Breakfast,528,39.9,71.9,13.3,Non-Veg
Egg Dosa Lite With Poriyal,Jharkhand,Breakfast,480,27.9,59.4,11.7,Non-Veg
Egg Dosa And Salad,Odisha,Breakfast,585,20.6,94.2,14.3,Non-Veg
Ghugni Fish Fry With Bread,West Bengal,Breakfast,357,29.6,42.5,8.6,Non-Veg
Ootti Egg Dosa,Manipur,Breakfast,387,40.1,54.0,11.2,Non-Veg
Chhinam Eggy Poha,Mizoram,Breakfast,511,26.4,71.7,18.1,Non-Veg
Chicken Kheema Sandwich And Raita,Himachal Pradesh,Breakfast,494,45.0,78.0,15.1,Non-Veg
Egg Bhurji Paratha And Sambar,Punjab,Breakfast,418,31.0,60.8,16.1,Non-Veg
Fara Egg Dosa Special,Chhattisgarh,Breakfast,590,23.3,79.3,13.5,Non-Veg
Litti Chicken Kheema Sandwich Special,Bihar,Breakfast,365,40.8,55.4,14.1,Non-Veg
Chhole Chicken Kheema Sandwich,Punjab,Breakfast,529,43.6,60.5,13.1,Non-Veg
Keerai Chicken Kheema Sandwich Special,Rajasthan,Breakfast,521,24.7,77.2,11.7,Non-Veg
Anda Uttapam Lite With Steamed Rice,Karnataka,Breakfast,375,41.7,48.9,10.4,Non-Veg
Anda Uttapam Special With Sambar,Uttarakhand,Breakfast,309,33.7,40.6,11.0,Non-Veg
Eggy Poha And Raita,Nagaland,Breakfast,356,35.3,40.1,11.0,Non-Veg
Bai Fish Fry With Bread Special,Mizoram,Breakfast,360,30.2,40.5,11.5,Non-Veg
Delhi Style Fish Fry With Bread Lite,Delhi,Breakfast,377,40.5,45.0,11.5,Non-Veg
Khatta Keema Paratha Special,Himachal Pradesh,Breakfast,535,38.5,76.7,15.4,Non-Veg
Tsaman Fish Fry With Bread,Jammu and Kashmir,Breakfast,580,30.6,94.2,16.6,Non-Veg
Kerala Style Egg Dosa Classic,Kerala,Breakfast,441,37.1,55.1,10.7,Non-Veg
Eggy Poha Special With Chutney,Andhra Pradesh,Breakfast,567,42.1,72.8,18.9,Non-Veg
Tsaman Eggy Poha,Jammu and Kashmir,Breakfast,372,39.0,59.8,10.2,Non-Veg
Vellarikai Anda Uttapam,Tamil Nadu,Breakfast,404,28.1,50.3,11.8,Non-Veg
Keerai Keema Paratha,Tamil Nadu,Breakfast,428,27.1,67.2,11.5,Non-Veg
Keema Paratha And Chapati,Bihar,Breakfast,348,21.5,41.6,12.8,Non-Veg
Egg Dosa Lite With Chutney,Nagaland,Breakfast,559,23.8,66.7,14.5,Non-Veg
Poha Chicken Kheema Sandwich,Madhya Pradesh,Breakfast,372,20.8,48.3,13.8,Non-Veg
Pitika Egg Bhurji Paratha,Assam,Breakfast,483,35.9,59.0,13.2,Non-Veg
Bhature Anda Uttapam,Himachal Pradesh,Breakfast,450,22.2,64.6,17.4,Non-Veg
Tsaman Style Mutton Curry Biryani (Veg),Jammu and Kashmir,Lunch,559,37.2,89.1,18.3,Non-Veg
Khlem Chicken Biryani Curry With Rice,Meghalaya,Lunch,840,41.7,111.2,31.0,Non-Veg
Kosha Style Mutton Biryani Biryani (Veg),Kerala,Lunch,635,30.7,72.2,15.0,Non-Veg
Modur Style Prawn Masala Biryani (Veg),Jammu and Kashmir,Lunch,515,22.2,80.6,19.2,Non-Veg
Muthiya Style Mutton Curry Biryani (Veg),Gujarat,Lunch,545,23.1,79.2,14.5,Non-Veg
Jammu And Kashmir Chicken Biryani With Chapati,Jammu and Kashmir,Lunch,722,38.8,89.3,25.9,Non-Veg
Singodi Egg Curry Curry With Rice,Uttarakhand,Lunch,656,36.4,103.1,25.3,Non-Veg
Chana Prawn Masala Curry With Rice,Odisha,Lunch,818,22.2,101.7,23.2,Non-Veg
Bamboo Prawn Masala Curry With Rice,Nagaland,Lunch,620,28.7,99.5,14.6,Non-Veg
Chicken Chettinad Pickle Thali,Odisha,Lunch,883,37.0,135.8,29.5,Non-Veg
Fish Pulav Pulav With Salad,Maharashtra,Lunch,714,37.6,94.2,20.0,Non-Veg
Fish Pulav Salad Thali,Tripura,Lunch,818,42.0,128.2,23.8,Non-Veg
Tsaman Style Mutton Biryani Biryani (Veg),Jammu and Kashmir,Lunch,650,31.8,100.1,21.6,Non-Veg
Chicken Curry Sambar Thali,Chhattisgarh,Lunch,711,44.4,83.9,21.8,Non-Veg
Roasted Fish With Rice Pulav With Salad,Goa,Lunch,620,27.8,78.2,15.9,Non-Veg
Egg Curry Pulav With Salad,Kerala,Lunch,556,23.8,71.9,18.3,Non-Veg
Bajra Style Egg Curry Biryani (Veg),Punjab,Lunch,631,34.4,76.4,24.2,Non-Veg
Eromba Egg Curry Curry With Rice,Manipur,Lunch,551,36.8,78.9,19.4,Non-Veg
Jammu And Kashmir Chicken Chettinad With Curd,Jammu and Kashmir,Lunch,627,20.1,91.5,16.4,Non-Veg
Keerai Style Chicken Biryani Biryani (Veg),Rajasthan,Lunch,591,38.1,82.1,15.9,Non-Veg
Tungrymbai Style Fish Pulav Biryani (Veg),Meghalaya,Lunch,632,41.7,71.7,23.0,Non-Veg
Punjab Fish Curry With Chutney,Punjab,Lunch,689,27.8,100.1,18.5,Non-Veg
Mutton Curry Chutney Thali,Meghalaya,Lunch,705,21.3,100.9,26.8,Non-Veg
Chicken Curry Curd Thali,Odisha,Lunch,865,38.2,135.0,24.8,Non-Veg
Prawn Masala Chapati Thali,Kerala,Lunch,553,34.9,77.4,17.7,Non-Veg
Jharkhand Chicken Curry With Roti,Jharkhand,Lunch,516,43.5,63.5,19.4,Non-Veg
Fish Curry Roti Thali,Assam,Lunch,754,38.7,107.1,22.6,Non-Veg
Chicken Chettinad Pulav With Salad,Sikkim,Lunch,553,42.1,83.2,20.4,Non-Veg
Pappu Style Chicken Biryani Biryani (Veg),Telangana,Lunch,632,22.5,91.6,22.9,Non-Veg
Gundruk Style Mutton Biryani Biryani (Veg),Sikkim,Lunch,821,23.0,100.8,24.2,Non-Veg
Soppu Style Chicken Biryani Biryani (Veg),Rajasthan,Lunch,511,31.8,61.7,15.9,Non-Veg
Chaat Style Mutton Biryani Biryani (Veg),Delhi,Lunch,899,31.7,135.3,30.7,Non-Veg
Fish Curry Pulav With Salad,Madhya Pradesh,Lunch,782,37.3,92.3,25.4,Non-Veg
Mutton Curry Steamed Rice Thali,Punjab,Lunch,888,34.7,143.8,23.5,Non-Veg
Pitika Style Fish Curry Biryani (Veg),Assam,Lunch,616,21.0,96.4,19.4,Non-Veg
Chicken Curry Dal Thali,Andhra Pradesh,Lunch,844,38.1,118.1,29.8,Non-Veg
Madhya Pradesh Chicken Chettinad With Curd,Madhya Pradesh,Lunch,631,36.7,80.2,22.4,Non-Veg
Prawn Masala Pulav With Salad,Telangana,Lunch,700,34.6,106.4,20.0,Non-Veg
Singju Style Fish Pulav Biryani (Veg),Manipur,Lunch,703,36.7,79.8,25.0,Non-Veg
Manipur Chicken Biryani With Rasam,Manipur,Lunch,560,26.1,86.8,21.0,Non-Veg
West Bengal Mutton Curry With Sambar,West Bengal,Lunch,559,41.0,87.9,20.1,Non-Veg
Bihar Fish Curry With Sambar,Bihar,Lunch,601,29.1,97.0,22.9,Non-Veg
Sael Chicken Chettinad Curry With Rice,Sikkim,Lunch,859,38.7,101.5,26.8,Non-Veg
Roasted Fish With Rice Dal Thali,Rajasthan,Lunch,757,21.6,86.1,20.6,Non-Veg
Katancha Style Fish Pulav Biryani (Veg),Andhra Pradesh,Lunch,617,21.2,72.5,23.1,Non-Veg
Karela Mutton Biryani Curry With Rice,Bihar,Lunch,648,30.1,98.6,16.9,Non-Veg
Kebabs (Veg) Roasted Fish With Rice Curry With Rice,Delhi,Lunch,546,22.3,70.3,19.6,Non-Veg
Egg Curry Pulav With Salad,Uttarakhand,Lunch,751,32.6,114.8,26.5,Non-Veg
Chole Fish Curry Curry With Rice,Delhi,Lunch,672,28.0,101.3,24.6,Non-Veg
Telangana Chicken Chettinad With Papad,Telangana,Lunch,550,23.3,78.2,19.2,Non-Veg
Assam Chicken Chettinad With Pickle,Assam,Lunch,579,29.4,92.3,13.3,Non-Veg
Roasted Fish With Rice Pulav With Salad,Manipur,Lunch,696,20.5,88.6,18.9,Non-Veg
Anda Chicken Biryani Curry With Rice,Mizoram,Lunch,739,23.5,96.4,21.9,Non-Veg
Mutton Biryani Dal Thali,Tamil Nadu,Lunch,562,29.0,85.9,19.6,Non-Veg
Chicken Chettinad Steamed Rice Thali,Assam,Lunch,531,25.4,72.7,14.5,Non-Veg
Rajasthan Chicken Chettinad With Papad,Rajasthan,Lunch,537,41.0,73.9,14.8,Non-Veg
